2017-06-22 21:03:56,870 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54858 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54858 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:01,877 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54861 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54861 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:06,903 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54866 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54866 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:11,946 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54868 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54868 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:16,955 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54880 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54880 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:21,961 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54882 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54882 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:26,965 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54888 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54888 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:31,971 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54890 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54890 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:36,981 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54897 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54897 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:41,987 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54909 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54909 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
